epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4332,2.24969,4.26519,1.57672,0,0,0,0,1.56661,4.03241,1.22057,0.0002375,0.0002375,0.0002375
2,71.3969,1.84591,3.41237,1.24001,0.00661,0.11314,0.01004,0.00387,1.60983,3.74312,1.17076,0.000477848,0.000477848,0.000477848
3,112.632,1.70704,2.83654,1.18201,0.02079,0.35697,0.09749,0.05465,1.5326,3.12391,1.18919,0.000708295,0.000708295,0.000708295
4,150.496,1.63171,2.56232,1.20119,0.02101,0.46836,0.11918,0.06428,1.46177,3.0556,1.15328,0.000928842,0.000928842,0.000928842
5,190.745,1.65751,2.40389,1.18625,0.64206,0.22913,0.13031,0.06411,1.56156,2.96003,1.22775,0.00113949,0.00113949,0.00113949
6,233.873,1.66751,2.40061,1.18584,0.53518,0.2941,0.21336,0.0938,1.51327,2.40361,1.21668,0.00112625,0.00112625,0.00112625
7,278.004,1.57144,2.10334,1.18345,0.48528,0.30554,0.23958,0.11555,1.44809,1.99788,1.22031,0.0011015,0.0011015,0.0011015
8,316.459,1.58272,2.23056,1.19656,0.45352,0.3135,0.22727,0.10859,1.51243,2.28024,1.27504,0.00107675,0.00107675,0.00107675
9,355.801,1.57109,2.14441,1.18272,0.45717,0.46636,0.28186,0.1515,1.38306,2.30015,1.20207,0.001052,0.001052,0.001052
10,397.027,1.55028,2.06246,1.14048,0.51997,0.35605,0.24328,0.13241,1.39935,2.1037,1.19988,0.00102725,0.00102725,0.00102725
11,444.063,1.52292,1.94937,1.12886,0.43784,0.36882,0.22976,0.11892,1.48941,2.02382,1.23334,0.0010025,0.0010025,0.0010025
12,480.222,1.54631,2.04909,1.18526,0.47869,0.2889,0.25864,0.13196,1.48207,1.91448,1.22684,0.00097775,0.00097775,0.00097775
13,516.351,1.45319,1.9128,1.13612,0.50317,0.31499,0.31118,0.17468,1.398,1.754,1.17911,0.000953,0.000953,0.000953
14,552.853,1.51303,1.8235,1.14182,0.75762,0.29317,0.34049,0.19432,1.42184,1.82372,1.19326,0.00092825,0.00092825,0.00092825
15,589.046,1.40071,1.7839,1.10791,0.60955,0.35726,0.36855,0.20674,1.39953,1.75418,1.18294,0.0009035,0.0009035,0.0009035
16,624.466,1.44789,1.81121,1.12055,0.64388,0.30539,0.38336,0.20995,1.39594,1.68695,1.19575,0.00087875,0.00087875,0.00087875
17,660.086,1.45663,1.77442,1.1339,0.54641,0.45445,0.379,0.20607,1.40658,1.69883,1.20014,0.000854,0.000854,0.000854
18,696.382,1.45143,1.72067,1.12731,0.80612,0.349,0.4284,0.24653,1.38767,1.62415,1.19011,0.00082925,0.00082925,0.00082925
19,732.077,1.38741,1.62144,1.12339,0.82041,0.36207,0.43522,0.2608,1.40845,1.62224,1.20446,0.0008045,0.0008045,0.0008045
20,768.406,1.36781,1.74993,1.12842,0.83399,0.35021,0.45476,0.27931,1.3811,1.63457,1.1946,0.00077975,0.00077975,0.00077975
21,803.801,1.38376,1.72971,1.11303,0.86688,0.35357,0.46953,0.29129,1.37334,1.65894,1.18956,0.000755,0.000755,0.000755
22,839.535,1.41375,1.72861,1.14758,0.66877,0.44096,0.47559,0.27707,1.36933,1.74857,1.17953,0.00073025,0.00073025,0.00073025
23,875.407,1.40046,1.66208,1.07855,0.68557,0.42747,0.48055,0.27296,1.42206,1.63896,1.19844,0.0007055,0.0007055,0.0007055
24,911.333,1.34748,1.62212,1.11209,0.65675,0.47037,0.5357,0.32889,1.41651,1.56861,1.19886,0.00068075,0.00068075,0.00068075
25,947.145,1.40284,1.55478,1.12486,0.64573,0.45854,0.55709,0.34529,1.37992,1.5264,1.18986,0.000656,0.000656,0.000656
26,983.14,1.293,1.58961,1.09976,0.69781,0.4299,0.57953,0.36441,1.35198,1.52818,1.18257,0.00063125,0.00063125,0.00063125
27,1019.18,1.3497,1.56071,1.07817,0.69973,0.42567,0.57501,0.36203,1.38367,1.55271,1.19297,0.0006065,0.0006065,0.0006065
28,1055.23,1.31988,1.50072,1.08134,0.7551,0.42104,0.55843,0.34275,1.40886,1.49182,1.20324,0.00058175,0.00058175,0.00058175
29,1092.39,1.36379,1.52191,1.09009,0.70649,0.43884,0.54873,0.34063,1.43683,1.4351,1.21605,0.000557,0.000557,0.000557
30,1128.62,1.31586,1.41126,1.08468,0.6953,0.49619,0.60151,0.38296,1.35641,1.39412,1.1777,0.00053225,0.00053225,0.00053225
31,1164.63,1.33642,1.43267,1.09548,0.71995,0.46984,0.56405,0.3551,1.33715,1.39335,1.17116,0.0005075,0.0005075,0.0005075
32,1200.6,1.26694,1.39156,1.0435,0.74176,0.44481,0.54927,0.34301,1.33558,1.43758,1.17099,0.00048275,0.00048275,0.00048275
33,1236.96,1.29496,1.4567,1.08189,0.72784,0.44219,0.53409,0.32819,1.3497,1.48344,1.17642,0.000458,0.000458,0.000458
